display  D   display_settings.c:202  debug_display_settings           [   0.18856] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18860] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18864] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18868] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18871] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18875] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18879] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18883] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18887] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18891] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18894] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18898] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18902] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18906] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18910] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18914] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18918] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18923] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18927] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18932] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18935] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18940] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18943] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18947] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18951] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18955] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18959] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18963] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18966] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18971] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18974] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18978] Single Buffer requirement not met.
